Vehicle,Route
0,Depot(0) -> Client(45) -> Client(71) -> Shelter(1) -> Client(122) -> Client(133) -> Client(139) -> Shelter(2) -> Client(158) -> Client(159) -> Client(161) -> Shelter(3) -> Client(191) -> Client(198) -> Shelter(4) -> Client(201) -> Shelter(5) -> Client(218) -> Client(221) -> Shelter(6) -> Client(266) -> Client(269) -> Client(283) -> Shelter(7) -> Client(145) -> Client(154) -> Client(197) -> Shelter(9) -> Client(229) -> Client(231) -> Shelter(10) -> Client(252) -> Shelter(11) -> Client(303) -> Shelter(12) -> Client(63) -> Client(69) -> Client(79) -> Shelter(13) -> Client(59) -> Client(61) -> Client(82) -> Client(92) -> Shelter(14) -> Client(67) -> Shelter(15) -> Client(170) -> Shelter(16) -> Client(202) -> Shelter(17) -> Client(270) -> Shelter(18) -> Client(279) -> Client(290) -> Client(293) -> Client(301) -> Shelter(21) -> Client(94) -> Client(103) -> Shelter(22) -> Depot(0)
1,Depot(0) -> Client(58) -> Shelter(1) -> Client(123) -> Client(136) -> Shelter(2) -> Client(156) -> Client(160) -> Client(168) -> Shelter(3) -> Client(209) -> Shelter(5) -> Client(102) -> Client(117) -> Client(228) -> Shelter(6) -> Client(101) -> Shelter(8) -> Client(216) -> Shelter(10) -> Client(247) -> Shelter(11) -> Client(302) -> Client(307) -> Client(313) -> Client(317) -> Shelter(12) -> Client(83) -> Shelter(14) -> Client(225) -> Shelter(17) -> Client(261) -> Client(262) -> Shelter(18) -> Client(44) -> Shelter(20) -> Client(275) -> Client(286) -> Client(296) -> Shelter(21) -> Client(80) -> Shelter(22) -> Depot(0)
2,Depot(0) -> Client(27) -> Client(40) -> Client(176) -> Shelter(1) -> Client(165) -> Client(178) -> Client(182) -> Shelter(3) -> Client(193) -> Shelter(4) -> Client(271) -> Client(288) -> Shelter(7) -> Client(107) -> Shelter(8) -> Client(254) -> Shelter(11) -> Client(304) -> Client(315) -> Client(321) -> Shelter(12) -> Client(65) -> Client(108) -> Shelter(13) -> Client(54) -> Shelter(14) -> Client(41) -> Client(53) -> Shelter(15) -> Client(171) -> Shelter(16) -> Client(208) -> Client(211) -> Shelter(17) -> Client(237) -> Client(242) -> Shelter(19) -> Client(276) -> Client(282) -> Shelter(21) -> Client(119) -> Shelter(22) -> Depot(0)
3,Depot(0) -> Client(46) -> Shelter(1) -> Client(124) -> Shelter(2) -> Client(183) -> Shelter(4) -> Client(224) -> Shelter(6) -> Client(265) -> Client(285) -> Shelter(7) -> Client(98) -> Client(104) -> Shelter(8) -> Client(194) -> Shelter(9) -> Client(227) -> Shelter(10) -> Client(249) -> Client(250) -> Shelter(11) -> Client(308) -> Client(311) -> Client(322) -> Shelter(12) -> Client(180) -> Shelter(16) -> Client(204) -> Client(210) -> Shelter(17) -> Client(257) -> Shelter(18) -> Client(234) -> Client(241) -> Shelter(19) -> Client(49) -> Client(175) -> Shelter(20) -> Client(305) -> Shelter(21) -> Depot(0)
4,Depot(0) -> Client(56) -> Client(64) -> Shelter(1) -> Client(135) -> Shelter(2) -> Client(142) -> Client(146) -> Client(147) -> Client(157) -> Client(167) -> Shelter(3) -> Client(190) -> Client(192) -> Shelter(4) -> Client(214) -> Shelter(5) -> Client(226) -> Shelter(6) -> Client(100) -> Client(114) -> Shelter(8) -> Client(212) -> Shelter(10) -> Client(314) -> Client(318) -> Client(320) -> Shelter(12) -> Client(68) -> Client(81) -> Shelter(13) -> Client(57) -> Shelter(14) -> Client(39) -> Shelter(15) -> Client(274) -> Shelter(18) -> Client(235) -> Shelter(19) -> Client(97) -> Shelter(22) -> Depot(0)
5,Depot(0) -> Client(23) -> Client(30) -> Client(181) -> Shelter(1) -> Client(125) -> Client(129) -> Shelter(2) -> Client(188) -> Client(189) -> Shelter(4) -> Client(99) -> Client(219) -> Client(220) -> Client(223) -> Shelter(6) -> Client(263) -> Shelter(7) -> Client(96) -> Client(111) -> Client(113) -> Client(115) -> Client(120) -> Shelter(8) -> Client(244) -> Client(253) -> Shelter(11) -> Client(298) -> Client(309) -> Client(310) -> Shelter(12) -> Client(70) -> Shelter(13) -> Client(76) -> Shelter(14) -> Client(72) -> Shelter(15) -> Client(172) -> Shelter(16) -> Client(200) -> Client(206) -> Shelter(17) -> Client(240) -> Shelter(19) -> Client(24) -> Shelter(20) -> Client(281) -> Client(295) -> Shelter(21) -> Client(75) -> Client(106) -> Shelter(22) -> Depot(0)
6,Depot(0) -> Client(26) -> Client(177) -> Shelter(1) -> Client(112) -> Client(132) -> Client(138) -> Shelter(2) -> Client(149) -> Shelter(3) -> Client(184) -> Client(187) -> Shelter(4) -> Client(217) -> Shelter(5) -> Client(222) -> Shelter(6) -> Client(84) -> Shelter(8) -> Client(213) -> Shelter(10) -> Client(245) -> Client(246) -> Client(268) -> Shelter(11) -> Client(299) -> Client(312) -> Client(319) -> Shelter(12) -> Client(74) -> Shelter(14) -> Client(260) -> Client(273) -> Shelter(18) -> Client(51) -> Shelter(20) -> Client(284) -> Client(291) -> Client(292) -> Shelter(21) -> Client(90) -> Client(121) -> Shelter(22) -> Depot(0)
7,Depot(0) -> Client(32) -> Client(34) -> Client(47) -> Client(55) -> Client(66) -> Shelter(1) -> Client(130) -> Client(131) -> Client(141) -> Shelter(2) -> Client(148) -> Client(151) -> Client(162) -> Client(166) -> Shelter(3) -> Client(186) -> Shelter(4) -> Client(215) -> Shelter(5) -> Client(85) -> Client(88) -> Client(91) -> Client(93) -> Shelter(8) -> Client(230) -> Shelter(10) -> Client(306) -> Client(323) -> Shelter(12) -> Client(77) -> Shelter(13) -> Client(29) -> Client(38) -> Shelter(15) -> Client(173) -> Shelter(16) -> Client(203) -> Shelter(17) -> Client(259) -> Shelter(18) -> Client(25) -> Client(43) -> Shelter(20) -> Client(280) -> Client(287) -> Shelter(21) -> Depot(0)
8,Depot(0) -> Client(28) -> Client(31) -> Client(33) -> Client(36) -> Client(42) -> Shelter(1) -> Client(116) -> Client(118) -> Client(128) -> Client(134) -> Client(137) -> Client(140) -> Shelter(2) -> Client(143) -> Client(144) -> Client(155) -> Shelter(3) -> Client(195) -> Shelter(4) -> Client(95) -> Client(105) -> Shelter(8) -> Client(248) -> Shelter(11) -> Client(300) -> Shelter(12) -> Client(164) -> Client(179) -> Shelter(16) -> Client(199) -> Client(207) -> Shelter(17) -> Client(272) -> Shelter(18) -> Client(236) -> Client(238) -> Client(243) -> Client(251) -> Shelter(19) -> Client(35) -> Shelter(20) -> Client(294) -> Shelter(21) -> Client(109) -> Shelter(22) -> Depot(0)
9,Depot(0) -> Client(174) -> Shelter(1) -> Client(126) -> Client(127) -> Shelter(2) -> Client(150) -> Client(153) -> Client(163) -> Shelter(3) -> Client(267) -> Client(277) -> Shelter(7) -> Client(89) -> Client(110) -> Shelter(8) -> Client(152) -> Client(185) -> Client(196) -> Shelter(9) -> Client(256) -> Shelter(11) -> Client(297) -> Client(316) -> Shelter(12) -> Client(60) -> Client(73) -> Client(78) -> Shelter(13) -> Client(86) -> Shelter(14) -> Client(48) -> Shelter(15) -> Client(169) -> Shelter(16) -> Client(205) -> Shelter(17) -> Client(255) -> Client(258) -> Client(264) -> Shelter(18) -> Client(232) -> Client(233) -> Client(239) -> Shelter(19) -> Client(37) -> Client(50) -> Client(52) -> Shelter(20) -> Client(278) -> Client(289) -> Shelter(21) -> Client(62) -> Client(87) -> Shelter(22) -> Depot(0)
